day,rat,trial,context,trial time,path to well,total path,block
1,GG08,25,wc,6.633333333333334,93.00982878688933,356.03244536374905,3
1,GG08,27,wc,9.133333333333333,97.1763710939133,346.8430934629689,3
1,GG08,28,wc,7.6,184.75848282913603,349.0221939523548,3
1,GG08,29,wc,7.966666666666667,49.32240776189405,345.94643362356226,3
1,GG08,30,wc,4.733333333333333,83.32500268359149,170.26120477797252,3
1,GG08,41,wc,6.766666666666667,49.854624454607546,178.54696567292547,5
1,GG08,42,wc,7.433333333333334,72.32574286325745,261.34028736621553,5
1,GG08,43,wc,6.966666666666667,44.55860564382489,197.98246609223705,5
1,GG08,45,wc,4.866666666666666,64.70759319412954,122.91764173686464,5
1,GG08,47,wc,8.4,46.58491944781892,534.5176908059766,5
1,GG08,48,wc,6.533333333333333,54.18710850742972,258.8738411707129,5
1,GG08,49,wc,7.966666666666667,110.15487014280116,196.8530929433878,5
