day,rat,session,trial,context,start frame,well visit frame,stop frame,success,head direction,trial time,path to well,total path,wrong well visit,trial timeout,start_frame_local,stop_frame_local,well_visit_local,block,idx_in_block
14,GG02,08042025_A,1,bc,3872,,4213,False,,11.4,,42.9759914060055,False,False,0,341,,1,1
14,GG02,08042025_A,2,bc,4854,5075.0,5170,False,,10.566666666666666,249.74170278284583,361.45680964912276,True,False,342,658,563.0,1,2
14,GG02,08042025_A,3,wc,6656,6726.0,6789,True,,4.466666666666667,62.63028510883105,139.6940691166139,False,False,659,792,729.0,2,1
14,GG02,08042025_A,4,wc,7371,7406.0,7500,True,41.33994635617324,4.333333333333333,40.13099708024707,115.03671854314084,False,False,793,922,828.0,2,2
14,GG02,08042025_A,5,wc,8020,8039.0,8076,True,56.40709517804112,1.9,33.19171369316312,82.30563684265196,False,False,923,979,942.0,2,3
14,GG02,08042025_A,6,wc,8554,8585.0,8627,True,,2.466666666666667,41.7112483059886,103.39715714616324,False,False,980,1053,1011.0,2,4
14,GG02,08042025_A,7,bc,10205,10267.0,10607,False,,13.433333333333334,106.09245155635352,308.65669940477136,False,True,1054,1456,1116.0,3,1
14,GG02,08042025_A,8,bc,11309,11384.0,11514,False,77.41110207449685,6.866666666666666,118.080316957941,256.8611066731054,False,True,1457,1662,1532.0,3,2
14,GG02,08042025_A,9,bc,12004,12042.0,12347,False,75.99450814904355,11.466666666666667,109.88374458526084,272.1623451374133,False,True,1663,2006,1701.0,3,3
14,GG02,08042025_A,10,bc,12882,13045.0,13203,False,,10.733333333333333,168.24250031503638,320.55695599793006,False,True,2007,2328,2170.0,3,4
14,GG02,08042025_A,11,wc,14765,14813.0,14916,True,,5.066666666666666,84.20351116024341,173.11266820710057,False,False,2329,2480,2377.0,4,1
14,GG02,08042025_A,12,wc,15403,,15658,False,,8.533333333333333,,144.5461746219846,False,False,2481,2736,,4,2
14,GG02,08042025_A,13,bc,17061,17107.0,17349,False,84.59400440246526,9.633333333333333,107.41716844875643,212.91332130962712,False,True,2737,3025,2783.0,5,1
14,GG02,08042025_A,14,bc,17919,17959.0,18060,True,73.31758606068394,4.733333333333333,96.02260435005076,232.86974965970774,False,False,3026,3167,3066.0,5,2
14,GG02,08042025_A,15,bc,18777,18866.0,19012,True,110.07058595341402,7.866666666666666,135.9515547390373,288.7889759640675,False,False,3168,3403,3257.0,5,3
14,GG02,08042025_A,16,wc,20637,20659.0,20702,True,,2.2,31.44840343548753,90.67662669527873,False,False,3404,3469,3426.0,6,1
14,GG02,08042025_A,17,wc,21282,21298.0,21390,True,54.83005488749086,3.6333333333333333,33.53081930199658,131.3504396631896,False,False,3470,3578,3486.0,6,2
14,GG02,08042025_A,18,wc,22257,22296.0,22391,True,,4.5,50.27040142502933,119.92323638021674,False,False,3579,3713,3618.0,6,3
14,GG02,08042025_A,19,bc,23879,23938.0,24149,False,,9.033333333333333,124.48362811597448,292.29691125936324,False,True,3714,3984,3773.0,7,1
14,GG02,08042025_A,20,bc,24633,24666.0,24872,True,67.910962241167,8.0,88.9223901484059,257.9871000462261,False,False,3985,4224,4018.0,7,2
14,GG02,08042025_A,21,wc,26607,,26818,False,,7.066666666666666,,280.4147136214988,False,False,4225,4436,,8,1
14,GG02,08042025_A,22,wc,27484,27499.0,27540,True,66.19644922222113,1.9,34.64725790023034,106.17542956615459,False,False,4437,4493,4452.0,8,2
14,GG02,08042025_A,23,wc,28048,28067.0,28099,True,,1.7333333333333334,38.13617771381688,85.33038968296364,False,False,4494,4545,4513.0,8,3
14,GG02,08042025_A,24,wc,28653,,28946,False,,9.8,,46.3185106055604,False,False,4546,4839,,8,4
14,GG02,08042025_A,25,bc,30271,30313.0,30532,False,,8.733333333333333,101.38859977222879,231.85010268382996,False,True,4840,5101,4882.0,9,1
14,GG02,08042025_A,26,bc,31129,31193.0,31253,True,,4.166666666666667,120.52812619160832,232.35561599286228,False,False,5102,5226,5166.0,9,2
14,GG02,08042025_A,27,bc,31832,,31897,False,90.25926188670906,2.2,,129.21072532825139,False,False,5227,5292,,9,3
14,GG02,08042025_A,28,wc,34074,34092.0,34397,False,,10.8,30.757480943750746,186.17851621911737,False,True,5293,5616,5311.0,10,1
14,GG02,08042025_A,29,wc,34942,34954.0,35085,True,,4.8,21.176354786687966,164.2606234847034,False,False,5617,5760,5629.0,10,2
14,GG02,08042025_A,30,wc,35944,35972.0,36004,True,80.66475195887972,2.033333333333333,66.3668089410236,124.43159993420197,False,False,5761,5821,5789.0,10,3
14,GG02,08042025_A,31,wc,36680,36824.0,36975,False,,9.866666666666667,76.2849169549115,172.78279049952567,False,True,5822,6117,5966.0,10,4
14,GG02,08042025_A,32,bc,38680,38713.0,38942,False,95.88682446947348,8.766666666666667,102.0467829813741,215.08400441932127,False,True,6118,6380,6151.0,11,1
14,GG02,08042025_A,33,bc,39473,39528.0,39732,False,113.98247061758445,8.666666666666666,98.57010637834041,236.22411412000932,False,True,6381,6640,6436.0,11,2
14,GG02,08042025_A,34,bc,40166,40197.0,40472,False,62.95504879033098,10.233333333333333,88.11399751791545,220.33210945894706,False,True,6641,6947,6672.0,11,3
14,GG02,08042025_A,35,bc,41087,41176.0,41402,False,69.86829045070289,10.533333333333333,127.60959863687236,245.35421620569537,True,False,6948,7263,7037.0,11,4
14,GG02,08042025_A,36,wc,43028,43113.0,43280,False,,8.433333333333334,78.4991836443378,270.9461186684905,False,True,7264,7516,7349.0,12,1
14,GG02,08042025_A,37,wc,43841,43858.0,43912,True,,2.4,37.18794484183202,92.22955754787068,False,False,7517,7588,7534.0,12,2
14,GG02,08042025_A,38,wc,44443,44462.0,44520,True,84.46108898868806,2.6,38.057243902426585,98.87133219564174,False,False,7589,7666,7608.0,12,3
14,GG02,08042025_A,39,bc,46172,46290.0,46371,True,,6.666666666666667,121.06376461195431,245.43287985314043,False,False,7667,7866,7785.0,13,1
14,GG02,08042025_A,40,bc,46792,46890.0,46969,False,116.45967615680166,5.933333333333334,120.50180809761896,226.16340124106796,True,False,7867,8044,7965.0,13,2
