day,rat,session,trial,context,start frame,well visit frame,stop frame,success,head direction,trial time,path to well,total path,wrong well visit,trial timeout,start_frame_local,stop_frame_local,well_visit_local,block,idx_in_block
10,GG08,07312025_A,1,wc,1120,1271.0,1420,False,,10.033333333333333,86.9337201311852,207.76537248424506,False,True,0,300,151.0,1,1
10,GG08,07312025_A,2,wc,1892,,2257,False,126.90599993335843,12.2,,293.07206005856835,False,False,301,666,,1,2
10,GG08,07312025_A,3,wc,2845,2893.0,3146,False,,10.066666666666666,102.66909240011927,263.040189281944,False,True,667,968,715.0,1,3
10,GG08,07312025_A,4,wc,3589,3607.0,3711,True,71.42709367092607,4.1,31.852534954136186,301.4481566757489,False,False,969,1091,987.0,1,4
10,GG08,07312025_A,5,wc,4130,4171.0,4296,True,,5.566666666666666,51.87424185296992,193.3187742067721,False,False,1092,1258,1133.0,1,5
10,GG08,07312025_A,6,wc,4759,4777.0,4865,True,,3.566666666666667,23.40958793102257,116.0414755890305,False,False,1259,1365,1277.0,1,6
10,GG08,07312025_A,7,wc,5272,5292.0,5380,True,71.63666758903003,3.6333333333333333,24.357566684927978,113.13771126430264,False,False,1366,1474,1386.0,1,7
10,GG08,07312025_A,8,wc,5873,5921.0,6005,True,70.08741042893223,4.433333333333334,54.082034378211006,136.38582472538877,False,False,1475,1607,1523.0,1,8
10,GG08,07312025_A,9,wc,6539,6567.0,6639,True,68.27996552921809,3.3666666666666667,42.95625738733351,124.396353280412,False,False,1608,1708,1636.0,1,9
10,GG08,07312025_A,10,wc,7040,7078.0,7168,True,,4.3,35.90607704147082,131.11305055736804,False,False,1709,1837,1747.0,1,10
10,GG08,07312025_A,11,bc,8987,,9093,False,,3.566666666666667,,138.83966332825182,False,False,1838,1944,,2,1
10,GG08,07312025_A,12,bc,9572,9657.0,9870,False,84.21182619739074,9.966666666666667,127.67168620847809,273.5552229201289,True,False,1945,2243,2030.0,2,2
10,GG08,07312025_A,13,bc,10519,,10832,False,,10.466666666666667,,125.46186447411031,False,False,2244,2557,,2,3
10,GG08,07312025_A,14,bc,11330,11475.0,11670,False,,11.366666666666667,142.77112484050133,225.95117012959642,False,True,2558,2898,2703.0,2,4
10,GG08,07312025_A,15,bc,12178,12291.0,12524,False,,11.566666666666666,129.42908161626752,273.6457190880405,False,True,2899,3245,3012.0,2,5
10,GG08,07312025_A,16,bc,13007,,13316,False,57.64021545260289,10.333333333333334,,98.44938898892826,False,False,3246,3555,,2,6
10,GG08,07312025_A,17,bc,13856,14012.0,14228,False,,12.433333333333334,183.0520030942001,336.73800843051515,True,False,3556,3928,3712.0,2,7
10,GG08,07312025_A,18,bc,14683,14746.0,14810,False,135.013937141928,4.266666666666667,92.42447471682767,138.97286966876908,False,True,3929,4056,3992.0,2,8
10,GG08,07312025_A,19,bc,15381,,15714,False,118.58590066358727,11.133333333333333,,260.9532011877732,False,False,4057,4390,,2,9
10,GG08,07312025_A,20,wc,17569,17645.0,17855,True,,9.566666666666666,75.05992528566384,198.52294094143548,False,False,4391,4677,4467.0,3,1
10,GG08,07312025_A,21,wc,18350,18375.0,18434,True,,2.8333333333333335,32.322376150026386,106.51099630262759,False,False,4678,4762,4703.0,3,2
10,GG08,07312025_A,22,wc,18815,18837.0,18944,True,,4.333333333333333,31.034017551017612,125.96014923370358,False,False,4763,4892,4785.0,3,3
10,GG08,07312025_A,23,wc,19432,19461.0,19690,False,89.6289530027945,8.633333333333333,42.8137130764532,186.73978620390983,False,True,4893,5151,4922.0,3,4
10,GG08,07312025_A,24,wc,20193,20232.0,20514,False,,10.733333333333333,55.61339449095706,255.2990318267518,True,False,5152,5473,5191.0,3,5
10,GG08,07312025_A,25,wc,21047,21065.0,21287,False,61.06904529641906,8.033333333333333,33.96158851302734,254.02675577264228,True,False,5474,5714,5492.0,3,6
10,GG08,07312025_A,26,wc,21826,21852.0,21922,True,78.84812219368689,3.2333333333333334,40.50336580805143,116.14773161754644,False,False,5715,5811,5741.0,3,7
10,GG08,07312025_A,27,wc,22389,22410.0,22544,True,,5.2,35.53593207416314,145.241863620084,False,False,5812,5967,5833.0,3,8
10,GG08,07312025_A,28,wc,22910,22962.0,23095,True,71.68655309665564,6.2,61.69539823265671,157.05126725511457,False,False,5968,6153,6020.0,3,9
10,GG08,07312025_A,29,wc,23553,23586.0,23678,True,63.44219579167964,4.2,41.038097675698594,137.4094671930175,False,False,6154,6279,6187.0,3,10
10,GG08,07312025_A,30,bc,25677,26000.0,26050,False,,12.466666666666667,262.09542497408916,286.25366920006,False,True,6280,6653,6603.0,4,1
10,GG08,07312025_A,31,bc,26641,26773.0,26895,True,,8.5,216.1054975193452,372.41666510886444,False,False,6654,6908,6786.0,4,2
10,GG08,07312025_A,32,bc,27372,27431.0,27585,True,,7.133333333333334,79.91539506186703,234.85526734730337,False,False,6909,7122,6968.0,4,3
10,GG08,07312025_A,33,bc,28065,28189.0,28276,False,180.21163842097363,7.066666666666666,145.1835087632168,270.2953318781549,True,False,7123,7334,7247.0,4,4
10,GG08,07312025_A,34,bc,28806,28871.0,28981,True,71.83675797804409,5.866666666666666,123.8325616199952,254.1196826669061,False,False,7335,7510,7400.0,4,5
10,GG08,07312025_A,35,bc,29484,29538.0,29707,True,90.07865572293395,7.466666666666667,90.06595624014304,220.03494614970975,False,False,7511,7734,7565.0,4,6
10,GG08,07312025_A,36,bc,30134,30190.0,30309,True,135.05331001869,5.866666666666666,89.81498153998686,216.4233809712461,False,False,7735,7910,7791.0,4,7
10,GG08,07312025_A,37,bc,30714,30776.0,30916,True,127.05531586358165,6.766666666666667,90.61610079511921,207.15159995238656,False,False,7911,8113,7973.0,4,8
10,GG08,07312025_A,38,bc,31332,31416.0,31572,True,,8.033333333333333,122.74652174453166,285.694436936904,False,False,8114,8354,8198.0,4,9
10,GG08,07312025_A,39,wc,33210,33234.0,33305,True,61.454824993857585,3.2,36.09807315964271,123.1623930378151,False,False,8355,8450,8379.0,5,1
10,GG08,07312025_A,40,wc,33743,33767.0,33845,True,35.77686036398029,3.433333333333333,31.954469929605118,120.45740594192473,False,False,8451,8553,8475.0,5,2
10,GG08,07312025_A,41,wc,34296,34334.0,34420,True,74.52117246632258,4.166666666666667,39.53511421061178,115.59672919344254,False,False,8554,8678,8592.0,5,3
10,GG08,07312025_A,42,wc,34821,34861.0,34966,True,,4.866666666666666,43.667806299166664,126.02387244147025,False,False,8679,8824,8719.0,5,4
10,GG08,07312025_A,43,wc,35369,35403.0,35498,True,66.0164930187957,4.333333333333333,37.95731729678026,115.85325755942182,False,False,8825,8954,8859.0,5,5
10,GG08,07312025_A,44,wc,35976,36014.0,36097,True,,4.066666666666666,44.70720119620731,129.99276755482376,False,False,8955,9076,8993.0,5,6
10,GG08,07312025_A,45,wc,36560,36581.0,36647,True,,2.933333333333333,33.84683091163151,106.95680223311389,False,False,9077,9164,9098.0,5,7
10,GG08,07312025_A,46,wc,37145,37176.0,37256,True,,3.7333333333333334,42.89805824394239,119.09138042080706,False,False,9165,9276,9196.0,5,8
10,GG08,07312025_A,47,wc,37763,37796.0,37877,True,69.39209822752093,3.8333333333333335,39.21053482145797,102.83651055235244,False,False,9277,9391,9310.0,5,9
