day,rat,session,trial,context,start frame,well visit frame,stop frame,success,head direction,trial time,path to well,total path,wrong well visit,trial timeout,start_frame_local,stop_frame_local,well_visit_local,block,idx_in_block
1,GG02,07222025_A,1,wc,1355,,1879,False,,17.5,,32.00040925732432,False,False,0,524,,1,1
1,GG02,07222025_A,2,wc,2359,,2919,False,,18.7,,57.35322874264465,False,False,525,1085,,1,2
1,GG02,07222025_A,3,wc,3397,,3875,False,,15.966666666666667,,28.59268983830041,False,False,1086,1564,,1,3
1,GG02,07222025_A,4,wc,4348,,4781,False,,14.466666666666667,,303.34501035600874,False,False,1565,1998,,1,4
1,GG02,07222025_A,5,wc,5436,,5844,False,,13.633333333333333,,283.05739783887566,False,False,1999,2407,,1,5
1,GG02,07222025_A,6,wc,6329,,6936,False,,20.266666666666666,,35.197734807834614,False,False,2408,3015,,1,6
1,GG02,07222025_A,7,wc,7468,,7856,False,256.95212594141685,12.966666666666667,,75.12261039835818,False,False,3016,3404,,1,7
1,GG02,07222025_A,8,wc,8534,,8975,False,,14.733333333333333,,313.6429391845077,False,False,3405,3846,,1,8
1,GG02,07222025_A,9,wc,9369,,10087,False,251.64129786451437,23.966666666666665,,157.22382296526334,False,False,3847,4565,,1,9
1,GG02,07222025_A,10,wc,10519,,11023,False,238.98990433847678,16.833333333333332,,259.52375052630873,False,False,4566,5070,,1,10
1,GG02,07222025_A,11,bc,13847,,14291,False,246.01037084002567,14.833333333333334,,35.74565036653803,False,False,5071,5515,,2,1
1,GG02,07222025_A,12,bc,14929,,15446,False,,17.266666666666666,,33.384843786600364,False,False,5516,6033,,2,2
1,GG02,07222025_A,13,bc,16088,,16687,False,,20.0,,87.88012119529333,False,False,6034,6633,,2,3
1,GG02,07222025_A,14,bc,17267,,17817,False,,18.366666666666667,,13.213874146840118,False,False,6634,7184,,2,4
1,GG02,07222025_A,15,bc,18272,,18987,False,241.47632768589818,23.866666666666667,,38.92192349601969,False,False,7185,7900,,2,5
1,GG02,07222025_A,16,bc,20084,,20761,False,,22.6,,290.14546365098613,False,False,7901,8578,,2,6
1,GG02,07222025_A,17,bc,21219,,21836,False,,20.6,,287.13376550959214,False,False,8579,9196,,2,7
