day,rat,session,trial,context,start frame,well visit frame,stop frame,success,head direction,trial time,path to well,total path,wrong well visit,trial timeout,start_frame_local,stop_frame_local,well_visit_local,block,idx_in_block
1,GG01,07222025_A,1,bc,1494,,2316,False,,27.433333333333334,,0.0,False,False,0,822,,1,1
1,GG01,07222025_A,2,bc,2932,,3856,False,,30.833333333333332,,0.0,False,False,823,1747,,1,2
1,GG01,07222025_A,3,bc,4443,,5400,False,,31.933333333333334,,83.50827867858885,False,False,1748,2705,,1,3
1,GG01,07222025_A,4,bc,6031,,6749,False,,23.966666666666665,,85.54379794370841,False,False,2706,3424,,1,4
1,GG01,07222025_A,5,bc,7299,,7903,False,,20.166666666666668,,17.24703689898802,False,False,3425,4029,,1,5
1,GG01,07222025_A,6,bc,8404,,9212,False,,26.966666666666665,,57.60314081275982,False,False,4030,4838,,1,6
1,GG01,07222025_A,7,bc,9703,,10335,False,,21.1,,0.8493475737157028,False,False,4839,5471,,1,7
1,GG01,07222025_A,8,bc,10790,,11656,False,,28.9,,11.017886168274515,False,False,5472,6338,,1,8
1,GG01,07222025_A,9,bc,12170,,13116,False,,31.566666666666666,,27.87663211353032,False,False,6339,7285,,1,9
1,GG01,07222025_A,10,bc,13562,,14459,False,,29.933333333333334,,233.15519424285432,False,False,7286,8183,,1,10
1,GG01,07222025_A,11,bc,14954,,15625,False,,22.4,,133.05588656034655,False,False,8184,8855,,1,11
1,GG01,07222025_A,12,bc,16079,,16763,False,,22.833333333333332,,214.44001961509113,False,False,8856,9540,,1,12
1,GG01,07222025_A,13,bc,17208,,17760,False,108.49467063276194,18.433333333333334,,495.09264126269,False,False,9541,10093,,1,13
1,GG01,07222025_A,14,bc,18273,,18878,False,,20.2,,455.7660768904178,False,False,10094,10699,,1,14
1,GG01,07222025_A,15,bc,19563,,20194,False,,21.066666666666666,,327.6975355885044,False,False,10700,11331,,1,15
1,GG01,07222025_A,16,bc,21024,,21890,False,,28.9,,342.6203230989454,False,False,11332,12198,,1,16
1,GG01,07222025_A,17,bc,22378,,22921,False,,18.133333333333333,,123.63358779350094,False,False,12199,12742,,1,17
1,GG01,07222025_A,18,bc,23477,,24119,False,,21.433333333333334,,285.64218002628115,False,False,12743,13385,,1,18
1,GG01,07222025_A,19,bc,24631,,25142,False,,17.066666666666666,,101.94477437249901,False,False,13386,13897,,1,19
1,GG01,07222025_A,20,bc,25668,,26196,False,,17.633333333333333,,15.660653489951475,False,False,13898,14426,,1,20
