day,rat,trial,context,trial time,path to well,total path,block
10,GG02,10,wc,4.066666666666666,56.60722057299417,126.15919492020662,1
10,GG02,25,wc,3.9,138.37880784349866,217.92848173760714,3
10,GG02,27,wc,3.5,46.00937442996195,125.41401731945643,3
10,GG02,30,wc,2.3333333333333335,34.93298755811606,90.60735638778131,3
10,GG02,42,wc,2.1666666666666665,34.99093080367026,96.23082978235004,5
10,GG02,43,wc,2.8,39.37286904432933,109.63166446750571,5
10,GG02,44,wc,7.2,30.679680437843174,176.57930978630523,5
10,GG02,45,wc,2.3,34.80698855023702,85.49686309325563,5
10,GG02,47,wc,2.1333333333333333,28.674958957367256,73.15399115839847,5
10,GG02,48,wc,2.7666666666666666,40.82121099289663,115.36378199897855,5
10,GG02,49,wc,3.2666666666666666,40.538634093827575,94.16679686088506,5
10,GG02,50,wc,2.6333333333333333,33.193503134662116,84.0419589193242,5
14,GG02,3,wc,4.466666666666667,62.63028510883105,139.6940691166139,2
14,GG02,4,wc,4.333333333333333,40.13099708024707,115.03671854314084,2
14,GG02,5,wc,1.9,33.19171369316312,82.30563684265196,2
14,GG02,6,wc,2.466666666666667,41.7112483059886,103.39715714616324,2
14,GG02,11,wc,5.066666666666666,84.20351116024341,173.11266820710057,4
14,GG02,14,bc,4.733333333333333,96.02260435005076,232.86974965970774,5
14,GG02,15,bc,7.866666666666666,135.9515547390373,288.7889759640675,5
14,GG02,16,wc,2.2,31.44840343548753,90.67662669527873,6
14,GG02,17,wc,3.6333333333333333,33.53081930199658,131.3504396631896,6
14,GG02,18,wc,4.5,50.27040142502933,119.92323638021674,6
14,GG02,20,bc,8.0,88.9223901484059,257.9871000462261,7
14,GG02,22,wc,1.9,34.64725790023034,106.17542956615459,8
14,GG02,23,wc,1.7333333333333334,38.13617771381688,85.33038968296364,8
14,GG02,26,bc,4.166666666666667,120.52812619160832,232.35561599286228,9
14,GG02,29,wc,4.8,21.176354786687966,164.2606234847034,10
14,GG02,30,wc,2.033333333333333,66.3668089410236,124.43159993420197,10
14,GG02,37,wc,2.4,37.18794484183202,92.22955754787068,12
14,GG02,38,wc,2.6,38.057243902426585,98.87133219564174,12
14,GG02,39,bc,6.666666666666667,121.06376461195431,245.43287985314043,13
1,GG08,25,wc,6.633333333333334,231.72383762954993,596.6677206532726,3
1,GG08,27,wc,9.133333333333333,86.74918146220243,829.2937193131633,3
1,GG08,28,wc,7.6,235.19877523827643,946.2507587437407,3
1,GG08,29,wc,7.966666666666667,80.23874057518924,565.6597040672027,3
1,GG08,30,wc,4.733333333333333,82.73719519774077,192.46381338970863,3
1,GG08,41,wc,6.766666666666667,94.00648369661866,275.1015458716588,5
1,GG08,42,wc,7.433333333333334,70.88739591938169,321.4642180603297,5
1,GG08,43,wc,6.966666666666667,39.770106036437824,193.14642664256166,5
1,GG08,45,wc,4.866666666666666,77.27239688504355,209.13771601642583,5
1,GG08,47,wc,8.4,42.46821038618651,426.61196519734716,5
1,GG08,48,wc,6.533333333333333,52.04277098984057,441.681988766263,5
1,GG08,49,wc,7.966666666666667,108.9992901254956,1316.5932416126284,5
10,GG08,4,wc,4.1,31.852534954136186,301.4481566757489,1
10,GG08,5,wc,5.566666666666666,51.87424185296992,193.3187742067721,1
10,GG08,6,wc,3.566666666666667,23.40958793102257,116.0414755890305,1
10,GG08,7,wc,3.6333333333333333,24.357566684927978,113.13771126430264,1
10,GG08,8,wc,4.433333333333334,54.082034378211006,136.38582472538877,1
10,GG08,9,wc,3.3666666666666667,42.95625738733351,124.396353280412,1
10,GG08,10,wc,4.3,35.90607704147082,131.11305055736804,1
10,GG08,20,wc,9.566666666666666,75.05992528566384,198.52294094143548,3
10,GG08,21,wc,2.8333333333333335,32.322376150026386,106.51099630262759,3
10,GG08,22,wc,4.333333333333333,31.034017551017612,125.96014923370358,3
10,GG08,26,wc,3.2333333333333334,40.50336580805143,116.14773161754644,3
10,GG08,27,wc,5.2,35.53593207416314,145.241863620084,3
10,GG08,28,wc,6.2,61.69539823265671,157.05126725511457,3
10,GG08,29,wc,4.2,41.038097675698594,137.4094671930175,3
10,GG08,31,bc,8.5,216.1054975193452,372.41666510886444,4
10,GG08,32,bc,7.133333333333334,79.91539506186703,234.85526734730337,4
10,GG08,34,bc,5.866666666666666,123.8325616199952,254.1196826669061,4
10,GG08,35,bc,7.466666666666667,90.06595624014304,220.03494614970975,4
10,GG08,36,bc,5.866666666666666,89.81498153998686,216.4233809712461,4
10,GG08,37,bc,6.766666666666667,90.61610079511921,207.15159995238656,4
10,GG08,38,bc,8.033333333333333,122.74652174453166,285.694436936904,4
10,GG08,39,wc,3.2,36.09807315964271,123.1623930378151,5
10,GG08,40,wc,3.433333333333333,31.954469929605118,120.45740594192473,5
10,GG08,41,wc,4.166666666666667,39.53511421061178,115.59672919344254,5
10,GG08,42,wc,4.866666666666666,43.667806299166664,126.02387244147025,5
10,GG08,43,wc,4.333333333333333,37.95731729678026,115.85325755942182,5
10,GG08,44,wc,4.066666666666666,44.70720119620731,129.99276755482376,5
10,GG08,45,wc,2.933333333333333,33.84683091163151,106.95680223311389,5
10,GG08,46,wc,3.7333333333333334,42.89805824394239,119.09138042080706,5
10,GG08,47,wc,3.8333333333333335,39.21053482145797,102.83651055235244,5
14,GG08,6,wc,6.633333333333334,49.888200329990084,200.70663417585612,4
14,GG08,13,wc,5.766666666666667,53.17874595399026,146.95966670016753,10
14,GG08,15,wc,6.8,46.77612338489698,139.9041511812988,12
14,GG08,21,wc,8.666666666666666,61.82221804081645,186.32795999397612,18
